Player_Id,Batting_Hand,Innings,Runs,Highest,Hundreds,Fifties,Fours,Sixes,Average,Strike_Rate,Power_Index
1,Left_Hand,56,1349,91,0,7,137,42,35.5,101.73,122.536235854038
2,Right_Hand,92,2435,158,2,11,248,106,32.04,124.62,191.432012367531
3,Right_Hand,9,91,28,0,0,5,2,22.75,70.54,47.1713762612264
4,Right_Hand,61,1322,71,0,5,90,60,41.31,120.07,128.21344849645
5,Right_Hand,8,64,16,0,0,7,2,9.14,76.19,43.0370109515385
6,Right_Hand,82,2170,75,0,11,268,28,38.75,113.14,157.986748639265
7,Right_Hand,8,130,50,0,1,14,3,16.25,100.78,62.7886024616491
8,Right_Hand,131,4105,113,4,27,360,148,46.12,126.85,293.409768259954
9,Right_Hand,95,2427,89,0,17,255,44,37.92,105.94,176.059111467908
10,Right_Hand,45,971,78,0,6,76,38,51.11,125.45,128.518959063171
11,Right_Hand,23,394,50,0,1,32,13,28.14,123.9,86.5162104844288
12,Right_Hand,11,76,27,0,0,5,5,12.67,133.33,72.9754762558272
13,Right_Hand,1,9,9,0,0,1,0,9,75,40.8130229223939
14,Right_Hand,55,332,34,0,0,22,17,10.71,105.73,65.6597530100224
15,Right_Hand,24,113,23,0,0,11,2,10.27,88.28,50.283253989647
16,Left_Hand,2,6,3,0,0,0,0,3,37.5,19.6260673066782
17,Left_Hand,100,1927,81,0,8,248,27,25.69,109.99,137.020421780443
18,Left_Hand,32,1107,93,0,8,121,44,35.71,131.94,136.614522121945
19,Left_Hand,58,1977,116,1,15,198,52,49.42,119.96,181.040914960618
20,Right_Hand,128,3270,70,0,16,236,140,48.81,135.18,222.034782244325
21,Left_Hand,143,4106,100,1,28,360,161,40.25,134.23,281.958018004605
22,Left_Hand,11,106,41,0,0,6,5,13.25,96.36,55.8347473252538
23,Right_Hand,65,1441,71,0,11,154,28,38.95,115.74,141.431959716563
24,Left_Hand,16,218,38,0,0,17,9,14.53,91.21,57.0769470410517
25,Right_Hand,19,417,71,0,4,49,11,26.06,132.8,99.5653532655004
26,Left_Hand,68,1687,94,0,10,195,27,33.74,118.47,143.382891255203
27,Left_Hand,105,2339,83,0,10,175,133,26.28,125.62,172.804335433975
28,Left_Hand,11,237,75,0,2,25,8,23.7,124.08,83.818920991096
29,Left_Hand,81,1148,60,0,1,88,38,28,116.9,101.678720672303
30,Right_Hand,3,11,7,0,0,0,1,3.67,55,28.6805630768652
31,Right_Hand,122,2779,100,1,13,231,143,36.09,142.29,212.140709384408
32,Right_Hand,91,2553,104,2,14,251,121,37,136.6,213.120606510282
33,Right_Hand,22,259,34,0,0,22,6,15.24,100.39,62.0140009321217
34,Left_Hand,2,18,17,0,0,3,0,9,94.74,50.6035259650297
35,Left_Hand,98,1574,48,0,0,112,53,28.62,117.46,109.441468900907
36,Right_Hand,11,55,23,0,0,4,1,11,78.57,44.5009697085434
37,Right_Hand,3,33,26,0,0,5,0,16.5,137.5,75.2847737155371
38,Right_Hand,27,198,34,0,0,14,6,9.9,90.41,53.1901339823643
39,Right_Hand,14,42,9,0,0,3,1,7,68.85,37.6014322231792
40,Left_Hand,130,3634,93,0,31,422,51,37.46,120.01,251.240003761343
41,Right_Hand,104,2728,122,2,16,334,106,33.27,148.83,228.781084600912
42,Left_Hand,112,3082,95,0,25,348,62,37.59,117.54,223.466773086107
43,Right_Hand,5,34,13,0,0,6,1,6.8,91.89,48.8117836673998
44,Left_Hand,30,768,114,1,4,84,39,27.43,134.03,120.244578869146
45,Right_Hand,4,39,30,0,0,2,2,13,72.22,42.3302657989423
46,Right_Hand,130,3390,83,0,17,341,104,36.45,124.59,216.133119131543
47,Right_Hand,9,91,29,0,0,9,2,11.38,94.79,53.5699804489834
48,Left_Hand,50,672,45,0,0,55,20,21,114.29,82.0684999877683
49,Right_Hand,8,147,33,0,0,12,8,18.38,126.72,74.7055035552132
50,Right_Hand,75,783,64,0,1,76,40,20.08,136.41,102.916444436436
51,Left_Hand,3,25,16,0,0,4,0,8.33,75.76,41.2855612452433
52,Right_Hand,54,1017,81,0,3,66,46,40.68,120.07,113.694953386504
53,Left_Hand,80,2065,109,2,11,238,92,31.77,132.88,187.392473940978
54,Right_Hand,52,985,71,0,3,77,37,25.92,113.87,101.938050200404
55,Right_Hand,20,282,52,0,1,33,5,14.84,104.06,67.4244198220009
56,Right_Hand,36,974,117,1,5,74,41,36.07,124.71,124.407197126618
57,Right_Hand,137,3874,109,1,29,323,164,39.53,129.31,276.987624711875
58,Right_Hand,10,131,36,0,0,10,3,18.71,97.76,59.3774439209779
59,Right_Hand,7,49,17,0,0,1,3,7,84.48,45.4887722485919
60,Left_Hand,11,81,20,0,0,2,3,10.12,110.96,60.2118838671537
61,Right_Hand,28,52,10,0,0,2,1,4,66.67,35.058134392959
62,Right_Hand,67,1323,115,1,5,110,49,26.46,129.07,130.435357554479
63,Right_Hand,33,399,48,0,0,33,15,19.95,111.45,74.2411539058628
64,Right_Hand,78,1808,110,1,10,200,40,40.18,118.79,157.495011500719
65,Right_Hand,20,368,62,0,2,34,18,18.4,118.33,82.9163062533792
66,Right_Hand,19,124,25,0,0,8,8,15.5,121.57,70.1848525584632
67,Left_Hand,64,513,24,0,0,49,15,17.1,111.28,75.3658230227917
68,Right_Hand,8,56,25,0,0,2,0,9.33,73.68,40.8940175920224
69,Right_Hand,6,128,53,0,1,13,8,25.6,164.1,99.0409070275256
70,Right_Hand,9,81,33,0,0,7,6,10.12,176.09,92.7880550379575
71,Right_Hand,81,1262,70,0,4,102,48,28.68,122.29,117.87128834039
72,Right_Hand,3,24,9,0,0,2,1,12,109.09,59.2162752739212
73,Right_Hand,17,41,22,0,0,3,1,8.2,65.08,36.3729537532132
74,Left_Hand,29,739,91,0,4,94,9,28.42,107.1,95.2822203207483
75,Right_Hand,5,7,4,0,0,0,0,3.5,58.33,29.9235845485543
76,Right_Hand,4,73,31,0,0,6,1,18.25,93.59,55.7181576919794
77,Right_Hand,12,34,15,0,0,6,0,11.33,59.65,35.2942829569479
78,Right_Hand,2,4,4,0,0,1,0,2,133.33,65.3860605166393
79,Left_Hand,63,1218,61,0,6,84,44,33.83,114.47,119.207408731768
80,Right_Hand,15,89,28,0,0,6,2,12.71,89.9,51.5724384198795
81,Right_Hand,41,304,26,0,0,20,9,13.82,106.67,65.2958139031539
82,Right_Hand,18,179,39,0,0,13,5,19.89,111.87,67.9937649584947
83,Left_Hand,14,113,21,0,0,7,1,16.14,103.67,60.0087359998193
84,Right_Hand,14,37,9,0,0,2,1,9.25,80.43,44.1601545059505
85,Right_Hand,89,2675,103,1,23,285,51,46.12,117.63,215.58131900398
86,Right_Hand,5,52,24,0,0,5,0,13,106.12,58.6024288456195
87,Right_Hand,66,1324,75,0,5,121,28,41.38,110.15,118.806441259577
88,Right_Hand,121,2542,86,0,12,256,60,28.89,121.51,170.023913624601
89,Right_Hand,46,326,26,0,0,24,12,14.17,119.41,72.9177809082516
90,Right_Hand,14,177,39,0,0,12,9,17.7,142.74,82.6173951472901
91,Right_Hand,5,15,6,0,0,0,0,7.5,53.57,29.7013128450087
92,Left_Hand,3,8,7,0,0,0,0,8,72.73,39.1160760801124
93,Right_Hand,21,280,61,0,1,28,7,23.33,109.38,74.2028240891076
94,Right_Hand,32,166,19,0,0,14,3,9.76,103.11,58.2148093456697
95,Right_Hand,22,304,35,0,0,23,16,30.4,113.86,78.9760754551865
96,Right_Hand,83,1827,114,1,7,169,53,30.45,115.2,142.819491234628
97,Right_Hand,36,886,69,0,6,83,31,29.53,105.85,106.485573577465
98,Left_Hand,2,11,10,0,0,1,0,11,122.22,64.5860178460365
99,Right_Hand,1,3,3,0,0,0,0,3,37.5,19.5968417830542
100,Left_Hand,61,2225,115,1,18,233,73,50.57,129.74,205.498388860013
101,Right_Hand,19,423,60,0,2,56,10,21.15,120.17,85.8901171707839
102,Left_Hand,5,36,13,0,0,3,1,12,116.13,62.8207351826122
103,Left_Hand,7,193,73,0,1,30,2,27.57,112.21,75.8316322335681
104,Right_Hand,63,1400,73,0,6,122,43,45.16,121.42,133.340973943408
105,Right_Hand,4,39,24,0,0,1,5,13,205.26,107.065427433973
106,Right_Hand,15,19,6,0,0,1,0,3.17,45.24,23.6623536566598
107,Left_Hand,10,196,45,0,0,27,3,21.78,114.62,71.2775572804352
108,Left_Hand,8,145,54,0,1,21,3,18.12,126.09,76.7279147776338
109,Left_Hand,67,975,73,0,3,61,55,29.55,136.94,117.537176479862
110,Right_Hand,109,3270,133,3,22,275,142,45.42,146.57,264.882092185308
111,Right_Hand,3,40,23,0,0,5,1,20,148.15,82.4681402491746
112,Right_Hand,25,375,60,0,1,35,9,23.44,115.38,79.2143915145581
113,Right_Hand,8,117,47,0,0,10,6,16.71,142.68,80.6066518942336
114,Right_Hand,10,192,45,0,0,26,3,24,104.92,67.5756464466394
115,Right_Hand,5,20,11,0,0,1,1,20,111.11,64.043554095945
116,Right_Hand,9,22,6,0,0,1,0,5.5,68.75,36.1830703787223
117,Left_Hand,2,3,3,0,0,0,0,1.5,50,24.8732746171945
118,Right_Hand,2,4,4,0,0,1,0,4,80,40.6817404325646
119,Right_Hand,5,36,16,0,0,1,2,9,120,63.2389900991519
120,Right_Hand,15,99,42,0,0,6,8,14.14,130.26,73.2618032558391
121,Right_Hand,9,20,6,0,0,1,0,5,66.67,34.9119558739515
122,Right_Hand,2,11,11,0,0,2,0,11,57.89,33.6783949373401
123,Right_Hand,2,13,9,0,0,1,0,6.5,100,51.6540771393071
124,Right_Hand,15,35,8,0,0,3,0,11.67,71.43,40.8662434473018
125,Right_Hand,12,136,64,0,1,9,7,19.43,112.4,70.5105475409608
126,Right_Hand,11,39,23,0,0,5,0,7.8,97.5,51.7296677309193
127,Right_Hand,3,16,8,0,0,0,0,5.33,66.67,34.9426877605702
128,Right_Hand,6,53,24,0,0,7,0,8.83,70.67,39.6389021242483
129,Right_Hand,3,31,15,0,0,3,0,10.33,119.23,63.1955078881974
130,Right_Hand,3,23,22,0,0,5,0,7.67,95.83,50.7041814866949
131,Left_Hand,19,16,3,0,0,0,0,1.6,35.56,18.0907266450802
132,Left_Hand,16,241,52,0,1,26,2,24.1,92.69,64.7832697608813
133,Right_Hand,78,2329,100,1,13,295,29,44.79,114,177.383088067228
134,Left_Hand,1,0,0,0,0,0,0,0,0,0
135,Right_Hand,50,1153,76,0,9,140,24,36.03,110.12,126.558028829936
136,Right_Hand,43,291,31,0,0,25,3,12.65,89.26,55.2409931722911
137,Right_Hand,11,79,27,0,0,5,1,13.17,100,56.2388914084612
138,Left_Hand,6,121,57,0,1,14,1,30.25,97.58,67.6607598863054
139,Left_Hand,16,302,79,0,1,25,13,27.45,120.32,82.887227545825
140,Left_Hand,12,83,33,0,0,9,1,41.5,105.06,73.2164321837352
141,Right_Hand,1,3,3,0,0,0,0,3,42.86,22.1799743131747
142,Right_Hand,1,1,1,0,0,0,0,1,50,24.6045697509779
143,Right_Hand,1,1,1,0,0,0,0,1,100,48.7009552931466
144,Right_Hand,1,2,2,0,0,0,0,2,25,13.0645611887028
145,Left_Hand,1,0,0,0,0,0,0,0,0,0
146,Right_Hand,1,2,2,0,0,0,0,2,40,20.2934768513534
147,Right_Hand,77,2146,87,0,15,213,109,32.03,130.46,188.072843835334
148,Right_Hand,8,99,38,0,0,10,2,24.75,107.61,66.5851896163458
149,Right_Hand,2,4,2,0,0,0,0,4,133.33,66.2881585219839
150,Right_Hand,1,2,2,0,0,0,0,2,100,49.2091395019558
151,Right_Hand,13,36,15,0,0,2,1,4.5,72,37.720160816227
152,Left_Hand,2,19,19,0,0,1,0,9.5,82.61,44.8271323977925
153,Right_Hand,9,67,28,0,0,6,1,22.33,104.69,63.042749094906
154,Left_Hand,73,1993,78,0,14,123,78,42.4,121.97,168.93536514932
