,Player_Id,Player_Name,Country,DOB,Matches
0,1,SC Ganguly,India,8-Jul-72,59
1,2,BB McCullum,New Zealand,27-Sep-81,92
2,3,RT Ponting,Australia,19-Dec-74,10
3,4,DJ Hussey,Australia,15-Jul-77,64
4,5,Mohammad Hafeez,Pakistan,17-Oct-80,8
5,6,R Dravid,India,11-Jan-73,89
6,7,W Jaffer,India,16-Feb-78,8
7,8,V Kohli,India,5-Nov-88,138
8,9,JH Kallis,South Africa,16-Oct-75,98
9,10,CL White,Australia,18-Aug-83,47
10,11,MV Boucher,South Africa,3-Dec-76,31
11,12,B Akhil,India,7-Oct-77,15
12,13,AA Noffke,Australia,30-Apr-77,1
13,14,P Kumar,India,2-Oct-86,113
14,15,Z Khan,India,7-Oct-78,88
15,16,SB Joshi,India,6-Jun-70,4
16,17,PA Patel,India,9-Mar-85,103
17,18,ML Hayden,Australia,29-Oct-71,32
18,19,MEK Hussey,Australia,27-May-75,59
19,20,MS Dhoni,India,7-Jul-81,142
20,21,SK Raina,India,27-Nov-86,146
21,22,JDP Oram,New Zealand,28-Jul-78,18
22,23,S Badrinath,India,30-Aug-80,94
23,24,K Goel,India,24-Dec-86,22
24,25,JR Hopes,Australia,24-Oct-78,21
25,26,KC Sangakkara,Sri Lanka,27-Oct-77,71
26,27,Yuvraj Singh,India,12-Dec-81,108
27,28,SM Katich,Australia,21-Aug-75,11
28,29,IK Pathan,India,27-Oct-84,102
29,30,T Kohli,India,17-Dec-88,4
30,31,YK Pathan,India,17-Nov-82,134
31,32,SR Watson,Australia,17-Jun-81,94
32,33,M Kaif,India,1-Dec-80,29
33,34,DS Lehmann,Australia,5-Feb-70,2
34,35,RA Jadeja,India,6-Dec-88,125
35,36,M Rawat,India,25-Oct-85,18
36,37,D Salunkhe,India,12-Nov-82,6
37,38,SK Warne,Australia,13-Sep-69,55
38,39,SK Trivedi,India,4-Sep-82,76
39,40,G Gambhir,India,14-Oct-81,132
40,41,V Sehwag,India,20-Oct-78,104
41,42,S Dhawan,India,5-Dec-85,113
42,43,L Ronchi,Australia,23-Apr-81,5
43,44,ST Jayasuriya,Sri Lanka,30-Jun-69,30
44,45,DJ Thornely,Australia,1-Oct-78,6
45,46,RV Uthappa,India,11-Nov-85,135
46,47,PR Shah,India,3-Nov-87,16
47,48,AM Nayar,India,8-Oct-83,60
48,49,SM Pollock,South Africa,16-Jul-73,13
49,50,Harbhajan Singh,India,3-Jul-80,125
50,51,S Chanderpaul,West Indies,16-Aug-74,3
51,52,LRPL Taylor,New Zealand,8-Mar-84,55
52,53,AC Gilchrist,Australia,14-Nov-71,80
53,54,Y Venugopal Rao,India,26-Feb-82,65
54,55,VVS Laxman,India,1-Nov-74,20
55,56,A Symonds,Australia,9-Jun-75,39
56,57,RG Sharma,India,30-Apr-87,142
57,58,SB Styris,New Zealand,10-Jul-75,12
58,59,SB Bangar,India,11-Oct-72,12
59,60,WPUJC Vaas,Sri Lanka,27-Jan-74,13
60,61,RP Singh,India,6-Dec-85,82
61,62,WP Saha,India,24-Oct-84,89
62,63,LR Shukla,India,6-May-81,47
63,64,DPMD Jayawardene,Sri Lanka,27-May-77,80
64,65,S Sohal,India,10-Nov-87,22
65,66,B Lee,Australia,8-Nov-76,38
66,67,PP Chawla,India,24-Dec-88,123
67,68,WA Mota,India,20-Sep-81,12
68,69,Kamran Akmal,Pakistan,13-Jan-82,6
69,70,Shahid Afridi,Pakistan,1-Mar-80,10
70,71,DJ Bravo,West Indies,7-Oct-83,105
71,72,MA Khote,India,22-Apr-80,4
72,73,A Nehra,India,29-Apr-79,82
73,74,GC Smith,South Africa,1-Feb-81,29
74,75,Pankaj Singh,India,6-May-85,17
75,76,RR Sarwan,West Indies,23-Jun-80,4
76,77,S Sreesanth,India,6-Feb-83,44
77,78,VRV Singh,India,17-Sep-84,19
78,79,SS Tiwary,India,30-Dec-89,79
79,80,DS Kulkarni,India,10-Dec-88,66
80,81,R Vinay Kumar,India,12-Feb-84,101
81,82,AB Agarkar,India,4-Dec-77,42
82,83,M Kartik,India,11-Sep-76,56
83,84,I Sharma,India,2-Sep-88,70
84,85,AM Rahane,India,6-Jun-88,95
85,86,Shoaib Malik,Pakistan,1-Feb-82,7
86,87,MK Tiwary,India,14-Nov-85,78
87,88,KD Karthik,India,1-Jun-85,138
88,89,R Bhatia,India,22-Oct-79,92
89,90,MF Maharoof,India,7-Sep-84,20
90,91,VY Mahesh,India,21-Dec-87,17
91,92,TM Srivastava,India,7-Nov-89,7
92,93,B Chipli,India,27-Jan-83,23
93,94,DW Steyn,South Africa,27-Jun-83,90
94,95,DB Das,India,22-Sep-86,31
95,96,MK Pandey,India,10-Sep-89,89
96,97,HH Gibbs,South Africa,23-Feb-74,36
97,98,DNT Zoysa,Sri Lanka,13-May-78,3
98,99,D Kalyankrishna,India,16-Dec-83,3
99,100,SE Marsh,Australia,9-Jul-83,62
100,101,SA Asnodkar,India,29-Mar-84,20
101,102,Sohail Tanvir,Pakistan,12-Dec-84,11
102,103,Salman Butt,Pakistan,7-Oct-84,7
103,104,BJ Hodge,Australia,29-Dec-74,66
104,105,Umar Gul,Pakistan,14-Apr-84,6
105,106,AB Dinda,India,25-Mar-84,75
106,107,SP Fleming,New Zealand,1-Apr-73,10
107,108,S Vidyut,India,3-Dec-81,9
108,109,JA Morkel,South Africa,10-Jun-81,90
109,110,AB de Villiers,South Africa,17-Feb-84,119
110,111,LPC Silva,Sri Lanka,14-Dec-79,3
111,112,DB Ravi Teja,India,5-Sep-87,32
112,113,Misbah-ul-Haq,Pakistan,28-May-74,8
113,114,YV Takawale,India,5-Nov-84,16
114,115,RR Raje,India,3-Sep-86,10
115,116,PJ Sangwan,India,5-Nov-90,33
116,117,Mohammad Asif,Pakistan,20-Dec-82,8
117,118,GD McGrath,Australia,9-Feb-70,14
118,119,Joginder Sharma,India,23-Oct-83,16
119,120,MS Gony,India,4-Jan-84,43
120,121,M Muralitharan,Sri Lanka,17-Apr-72,66
121,122,M Ntini,South Africa,6-Jul-77,9
122,123,DT Patil,India,6-Dec-84,2
123,124,A Kumble,India,17-Oct-70,42
124,125,S Anirudha,India,14-Apr-87,20
125,126,MM Patel,India,12-Jul-83,61
126,127,CK Kapugedera,Sri Lanka,24-Feb-87,5
127,128,A Chopra,India,19-Sep-77,7
128,129,T Taibu,Zimbabwea,14-May-83,3
129,130,J Arunkumar,India,18-Jan-75,3
130,131,PP Ojha,India,5-Sep-86,92
131,132,SP Goswami,India,18-May-89,23
132,133,SR Tendulkar,India,24-Apr-73,78
133,134,U Kaul,India,2-Dec-87,5
134,135,TM Dilshan,Sri Lanka,14-Oct-76,51
135,136,A Mishra,India,24-Nov-82,112
136,137,AD Mascarenhas,England,30-Oct-77,13
137,138,NK Patel,India,26-Mar-81,9
138,139,LA Pomersbach,Australia,28-Sep-84,17
139,140,Iqbal Abdulla,India,2-Dec-89,47
140,141,Younis Khan,Pakistan,29-Nov-77,1
141,142,PM Sarvesh Kumar,India,26-Apr-89,2
142,143,DP Vijaykumar,India,20-Oct-86,9
143,144,Shoaib Akhtar,Pakistan,13-Aug-75,3
144,145,Abdur Razzak,Bangladesh,15-Jun-82,1
145,146,H Das,India,10-Dec-86,1
146,147,DR Smith,West Indies,12-Apr-83,79
147,148,SD Chitnis,India,6-May-87,11
148,149,CRD Fernando,Sri Lanka,19-Jul-79,10
149,150,VS Yeligati,India,23-Apr-85,2
150,151,L Balaji,India,27-Sep-81,73
151,152,A Mukund,India,6-Jan-90,3
152,153,RR Powar,India,20-May-78,27
153,154,JP Duminy,South Africa,14-Apr-84,77
154,155,A Flintoff,England,6-Dec-77,3
155,156,T Thushara,Sri Lanka,1-Mar-81,6
156,157,JD Ryder,New Zealand,6-Aug-84,29
157,158,KP Pietersen,South Africa,27-Jun-80,36
158,159,T Henderson,South Africa,1-Aug-74,2
159,160,Kamran Khan,India,10-Mar-91,9
160,161,RS Bopara,England,4-May-85,24
161,162,CH Gayle,West Indies,21-Sep-79,91
162,163,MC Henriques,Australia,1-Feb-87,45
163,164,R Bishnoi,India,8-Oct-87,3
164,165,FH Edwards,West Indies,6-Feb-82,6
165,166,KV Sharma,India,23-Oct-87,47
166,167,PC Valthaty,India,7-Dec-83,23
167,168,RJ Quiney,Australia,20-Aug-82,7
168,169,AS Raut,India,3-Mar-87,22
169,170,Yashpal Singh,India,27-Nov-81,8
170,171,M Manhas,India,12-Oct-79,55
171,172,AA Bilakhia,India,31-May-86,7
172,173,AN Ghosh,India,19-Oct-86,2
173,174,BAW Mendis,Sri Lanka,11-Mar-85,10
174,175,DL Vettori,New Zealand,27-Jan-79,34
175,176,MN van Wyk,South Africa,20-Mar-79,5
176,177,RE van der Merwe,South Africa,31-Dec-84,21
177,178,TL Suman,India,15-Dec-83,43
178,179,Shoaib Ahmed,Pakistan,17-Aug-90,8
179,180,GR Napier,England,6-Jan-80,1
180,181,KP Appanna,India,20-Dec-88,13
181,182,LA Carseldine,Australia,17-Nov-75,5
182,183,NV Ojha,India,20-Jul-83,98
183,184,SM Harwood,Australia,1-Mar-74,3
184,185,M Vijay,India,1-Apr-84,100
185,186,SB Jakati,India,27-Nov-80,57
186,187,DA Warner,Australia,27-Oct-86,100
187,188,RJ Harris,Australia,11-Oct-79,37
188,189,D du Preez,South Africa,8-Nov-81,2
189,190,M Morkel,South Africa,6-Oct-84,70
190,191,AD Mathews,Sri Lanka,2-Jun-87,46
191,192,J Botha,South Africa,2-May-82,34
192,193,C Nanda,India,29-Mar-79,3
193,194,SL Malinga,Sri Lanka,28-Aug-83,98
194,195,Mashrafe Mortaza,Bangladesh,5-Oct-83,1
195,196,A Singh,India,21-Jun-81,23
196,197,GJ Bailey,Australia,7-Sep-82,40
197,198,AB McDonald,Australia,5-Jun-81,10
198,199,Y Nagar,India,6-Jan-90,26
199,200,SS Shaikh,India,18-Jan-87,2
200,201,R Ashwin,India,17-Sep-86,110
201,202,Mohammad Ashraful,Bangladesh,7-Jul-84,1
202,203,CA Pujara,India,25-Jan-88,30
203,204,OA Shah,England,22-Oct-78,23
204,205,Anirudh Singh,India,2-Aug-80,5
205,206,Jaskaran Singh,India,4-Sep-89,8
206,207,AP Tare,India,7-Nov-87,32
207,208,AT Rayudu,India,23-Sep-85,109
208,209,R Sathish,India,14-Jan-81,34
209,210,R McLaren,South Africa,9-Feb-83,18
210,211,AA Jhunjhunwala,India,1-Dec-82,21
211,212,P Dogra,India,19-Nov-84,13
212,213,A Uniyal,India,21-Nov-81,2
213,214,MS Bisla,India,27-Dec-84,39
214,215,YA Abdulla,India,17-Jan-83,11
215,216,EJG Morgan,England,10-Sep-86,48
216,217,JM Kemp,South Africa,2-Oct-77,5
217,218,S Tyagi,India,17-Sep-87,14
218,219,RS Gavaskar,India,20-Feb-76,2
219,220,SE Bond,New Zealand,7-Jun-75,8
220,221,KA Pollard,West Indies,12-May-87,106
221,222,S Ladda,India,10-Jul-86,9
222,223,DP Nannes,Australia,16-May-76,29
223,224,MJ Lumb,England,12-Feb-80,12
224,225,DR Martyn,Australia,21-Oct-71,1
225,226,S Narwal,India,16-Apr-82,7
226,227,AB Barath,India,14-Apr-90,3
227,228,Bipul Sharma,India,28-Sep-83,26
228,229,FY Fazal,India,7-Sep-85,12
229,230,AC Voges,Australia,4-Oct-79,9
230,231,MD Mishra,India,9-Feb-84,18
231,232,UT Yadav,India,25-Oct-87,88
232,233,J Theron,South Africa,24-Jul-85,10
233,234,SJ Srivastava,India,22-Sep-81,14
234,235,R Sharma,India,30-Apr-87,44
235,236,Mandeep Singh,India,18-Dec-91,59
236,237,KM Jadhav,India,26-Mar-85,51
237,238,SW Tait,Australia,22-Feb-83,21
238,239,KB Arun Karthik,India,15-Feb-86,17
239,240,KAJ Roach,West Indies,30-Jun-88,2
240,241,PD Collingwood,England,26-May-76,8
241,242,CK Langeveldt,England,17-Dec-74,7
242,243,VS Malik,India,9-May-83,13
243,244,A Mithun,India,25-Oct-89,16
244,245,AP Dole,India,9-Oct-87,3
245,246,AN Ahmed,India,5-Nov-88,17
246,247,RS Sodhi,India,18-Oct-80,3
247,248,DE Bollinger,Australia,24-Jul-81,27
248,249,S Sriram,India,21-Feb-76,2
249,250,B Sumanth,India,10-May-88,5
250,251,C Madan,India,15-Oct-82,1
251,252,AG Paunikar,India,18-Apr-88,5
252,253,MR Marsh,Australia,20-Oct-91,20
253,254,AJ Finch,Australia,17-Nov-86,52
254,255,STR Binny,India,3-Jun-84,72
255,256,Harmeet Singh,India,7-Sep-92,28
256,257,IR Jaggi,India,27-Jan-89,5
257,258,DT Christian,Australia,4-May-83,23
258,259,RV Gomez,India,16-Oct-85,13
259,260,MA Agarwal,India,16-Feb-91,49
260,261,AUK Pathan,India,17-Jun-84,8
261,262,UBT Chand,India,26-Mar-93,21
262,263,DJ Jacobs,South Africa,4-Nov-82,7
263,264,Sunny Singh,India,18-Dec-86,6
264,265,NJ Rimmington,Australia,11-Nov-82,1
265,266,AL Menaria,India,29-Oct-90,29
266,267,WD Parnell,South Africa,30-Jul-89,26
267,268,JJ van der Wath,South Africa,10-Jan-78,3
268,269,R Ninan,India,19-Nov-85,2
269,270,S Aravind,India,8-Apr-84,28
270,271,MS Wade,Australia,26-Dec-87,3
271,272,TD Paine,Australia,8-Dec-84,2
272,273,SB Wagh,India,9-Oct-88,8
273,274,AC Thomas,England,9-Feb-77,15
274,275,JEC Franklin,New Zealand,7-Nov-80,20
275,276,Shakib Al Hasan,Bangladesh,24-Mar-87,42
276,277,DH Yagnik,India,22-Jun-83,25
277,278,S Randiv,Sri Lanka,30-Jan-85,8
278,279,BJ Haddin,Australia,23-Oct-77,1
279,280,NLTC Perera,Sri Lanka,3-Apr-89,37
280,281,NL McCullum,New Zealand,1-Sep-80,2
281,282,JE Taylor,New Zealand,22-Jun-84,5
282,283,J Syed Mohammad,India,3-Jun-83,11
283,284,RN ten Doeschate,Netherlands,30-Jun-80,29
284,285,TR Birt,Australia,9-Dec-81,5
285,286,AG Murtaza,India,1-Jan-90,12
286,287,Harpreet Singh,India,11-Aug-91,4
287,288,M Klinger,Australia,4-Jul-80,4
288,289,AC Blizzard,Australia,27-Jun-84,7
289,290,I Malhotra,India,23-May-84,1
290,291,L Ablish,India,3-Dec-82,3
291,292,CA Ingram,South Africa,3-Jul-85,3
292,293,S Nadeem,India,12-Aug-89,48
293,294,P Parameswaran,India,30-May-85,8
